episode_id	rec_id	chef_id	cuisine
78	46	57	46
78	42	19	65
78	8	39	61
78	61	49	8
78	28	48	18
78	59	30	26
79	1	31	41
79	46	29	16
79	16	34	46
79	27	27	60
79	52	17	39
79	27	10	7
79	31	23	54
79	48	48	48
79	70	39	47
79	70	1	17
80	24	5	34
80	62	34	19
80	9	48	39
80	13	1	66
80	24	54	57
80	40	41	40
80	24	17	14
80	30	13	10
80	20	51	30
80	56	46	50
81	58	30	58
81	58	42	49
81	45	39	25
81	33	2	13
81	5	19	68
81	13	59	66
81	66	8	50
81	58	4	45
81	58	5	35
81	49	21	15
82	8	27	38
82	38	20	8
82	46	18	36
82	2	47	55
82	36	12	26
82	2	30	2
82	18	14	18
82	59	40	59
82	2	59	22
82	59	56	46
83	27	37	37
83	19	11	39
83	47	31	47
83	48	45	11
83	31	34	1
83	48	28	41
83	7	18	7
83	64	24	64
83	7	1	70
83	52	32	52
84	24	23	67
84	62	12	52
84	44	40	4
84	44	15	14
84	63	45	63
84	10	56	20
84	34	53	34
84	34	49	57
84	9	60	19
84	14	55	44
85	23	23	3
85	5	47	49
85	33	39	33
85	5	25	35
85	35	50	5
85	13	52	66
85	20	36	10
85	5	56	25
85	63	42	53
85	3	24	43
86	28	33	28
86	46	51	6
86	26	11	69
86	51	39	32
86	61	54	61
86	16	8	26
86	38	20	38
86	22	41	51
86	18	49	18
86	32	48	55
87	52	20	52
87	19	48	9
87	31	36	64
87	54	7	1
87	52	31	29
87	52	1	19
87	21	39	21
87	19	54	62
87	37	55	70
87	7	6	7
88	57	56	44
88	4	28	14
88	47	32	7
88	53	34	63
88	47	44	47
88	4	40	34
88	34	50	4
88	30	57	53
88	17	30	70
88	20	24	10
89	5	17	68
89	15	50	35
89	50	16	33
89	35	15	15
89	35	39	5
89	66	8	43
89	13	41	50
89	23	60	23
89	43	56	13
89	58	35	45
90	16	3	59
90	6	60	46
90	65	10	32
90	61	44	38
90	59	22	16
90	61	9	61
90	61	39	18
90	42	54	2
90	8	8	8
90	28	19	28
91	31	41	64
91	2	34	42
91	29	53	19
91	64	56	41
91	21	19	48
91	62	33	39
91	39	2	9
91	55	45	32
91	42	51	12
91	51	18	51
92	24	33	57
92	20	10	40
92	70	12	70
92	34	21	67
92	67	36	14
92	4	16	34
92	30	60	10
92	4	17	44
92	70	1	17
92	17	46	47
93	43	26	13
93	33	36	66
93	63	12	30
93	58	25	35
93	13	23	56
93	33	38	33
93	33	55	43
93	53	57	20
93	23	43	23
93	30	15	40
94	35	36	15
94	6	57	69
94	45	5	49
94	6	46	36
94	68	6	68
94	35	32	58
94	15	34	35
94	16	24	16
94	59	16	46
94	15	30	45
95	18	50	61
95	8	54	38
95	31	14	1
95	55	5	65
95	21	1	64
95	38	16	8
95	19	43	52
95	8	40	28
95	11	47	41
95	9	8	9
96	24	45	34
96	37	7	47
96	4	19	44
96	29	51	29
96	34	54	67
96	65	12	55
96	27	30	37
96	57	22	57
96	9	52	62
96	44	6	14
97	30	57	10
97	3	4	50
97	42	19	32
97	17	53	37
97	12	29	65
97	60	12	70
97	33	35	56
97	23	20	13
97	60	56	7
97	50	30	66
98	30	59	40
98	20	37	10
98	6	16	36
98	45	57	58
98	35	21	15
98	40	14	63
98	30	53	20
98	69	8	16
98	25	51	45
98	6	50	69
99	39	32	39
99	39	51	52
99	48	5	21
99	21	42	64
99	52	27	9
99	1	46	54
99	52	1	62
99	21	47	48
99	9	20	19
99	54	28	11
100	28	41	61
100	8	10	8
100	12	53	2
100	4	28	14
100	32	12	12
100	55	58	51
100	28	6	38
100	67	7	44
100	12	57	32
100	32	44	65
101	56	22	56
101	14	14	67
101	70	28	17
101	50	12	33
101	3	25	3
101	23	6	50
101	23	60	13
101	60	16	47
101	34	10	57
101	47	26	27
102	30	50	20
102	46	56	16
102	40	21	40
102	35	53	45
102	69	27	6
102	68	43	68
102	40	48	63
102	68	16	15
102	35	34	25
102	68	6	5
103	46	44	16
103	11	30	41
103	39	54	9
103	41	37	21
103	48	24	64
103	31	43	1
103	1	14	54
103	19	40	62
103	36	36	36
103	26	48	26
104	2	51	22
104	24	32	67
104	4	24	34
104	51	48	55
104	14	50	14
104	2	17	51
104	57	13	4
104	24	10	44
104	32	25	2
104	52	4	52
105	7	56	70
105	61	44	61
105	17	52	60
105	7	51	17
105	3	53	43
105	18	33	28
105	28	50	8
105	70	7	37
105	43	39	13
105	3	59	50
106	49	23	45
106	68	26	58
106	49	19	25
106	15	36	35
106	40	56	53
106	63	33	63
106	49	48	5
106	30	37	10
106	53	22	30
106	20	49	20
107	16	12	46
107	31	27	21
107	52	22	19
107	16	32	16
107	11	29	41
107	54	55	1
107	1	31	31
107	36	7	26
107	6	18	69
107	26	58	6
108	2	42	55
108	57	25	14
108	62	56	29
108	62	33	52
108	42	18	65
108	2	28	12
108	65	53	22
108	39	3	19
108	34	17	57
108	62	22	39
109	17	54	70
109	66	30	23
109	28	28	18
109	27	20	7
109	24	38	34
109	44	40	24
109	66	32	3
109	61	3	61
109	60	1	47
109	66	53	50
110	8	33	38
110	38	38	18
110	38	57	61
110	53	35	30
110	5	53	15
110	28	47	28
110	58	55	35
110	25	29	58
110	49	10	68
110	30	21	63
111	1	16	54
111	64	25	48
111	54	10	11
111	54	42	1
111	53	1	30
111	59	57	16
111	26	22	69
111	48	50	21
111	6	20	36
111	63	29	10
112	32	43	32
112	55	24	12
112	24	46	14
112	9	18	9
112	44	19	4
112	55	40	51
112	39	41	19
112	22	59	2
112	67	45	57
112	14	48	34
113	13	29	3
113	17	4	60
113	7	33	17
113	17	44	70
113	9	13	29
113	50	50	56
113	52	24	19
113	52	60	62
113	56	52	66
113	7	23	37
114	38	9	38
114	58	37	25
114	25	47	15
114	18	39	18
114	10	7	30
114	20	13	10
114	63	55	40
114	68	36	49
114	20	30	53
114	68	21	35
115	16	17	59
115	36	34	69
115	26	48	26
115	69	47	16
115	8	13	8
115	11	8	64
115	38	27	61
115	54	52	11
115	38	9	28
115	54	14	21
116	65	51	2
116	34	36	14
116	22	8	55
116	12	10	22
116	57	30	44
116	65	41	32
116	12	25	42
116	14	3	24
116	22	15	51
116	34	43	34
117	70	18	60
117	29	24	39
117	43	35	3
117	60	8	70
117	50	30	23
117	9	41	9
117	70	57	47
117	47	56	17
117	66	58	43
117	19	50	19
118	30	25	63
118	45	26	58
118	10	22	53
118	25	32	35
118	20	27	40
118	63	16	20
118	10	29	10
118	5	3	25
118	10	19	30
118	45	15	45
119	8	12	38
119	8	60	28
119	31	50	54
119	61	1	18
119	64	49	11
119	26	34	46
119	38	38	8
119	54	9	41
119	59	45	36
119	1	43	48
120	14	60	4
120	6	8	16
120	57	31	57
120	4	21	24
120	65	46	55
120	69	44	46
120	16	49	59
120	65	13	42
120	4	39	14
120	69	54	26
121	60	47	27
121	32	28	42
121	70	20	47
121	56	7	23
121	22	56	55
121	65	29	22
121	39	9	19
121	65	54	65
121	3	18	43
121	12	43	51
122	37	52	7
122	13	6	13
122	50	43	66
122	62	34	9
122	68	3	45
122	62	17	19
122	30	25	40
122	5	31	25
122	56	54	50
122	30	15	10
123	68	38	5
123	49	29	58
123	21	14	31
123	38	19	28
123	45	22	68
123	15	42	35
123	10	34	40
123	40	10	53
123	31	30	41
123	11	33	11
124	26	11	16
124	8	58	8
124	36	25	26
124	26	14	59
124	14	46	34
124	44	12	4
124	6	1	46
124	61	38	18
124	57	36	57
124	34	57	24
125	29	25	9
125	62	27	52
125	42	46	42
125	52	18	62
125	17	45	37
125	7	10	47
125	32	38	32
125	22	35	55
125	62	50	29
125	70	22	17
126	63	15	63
126	3	1	56
126	40	56	30
126	13	29	23
126	53	24	53
126	3	51	13
126	56	41	33
126	33	50	43
126	3	3	3
126	20	27	40
127	1	15	54
127	38	60	61
127	48	3	1
127	38	46	18
127	5	11	49
127	31	57	21
127	64	14	41
127	45	12	45
127	54	47	31
127	5	4	68
128	28	10	61
128	61	8	18
128	46	21	46
128	59	52	59
128	4	14	4
128	46	17	26
128	44	46	34
128	44	18	44
128	36	16	69
128	59	31	16
129	52	49	62
129	37	44	70
129	52	40	52
129	55	38	55
129	2	7	12
129	9	2	29
129	22	54	32
129	27	1	17
129	19	48	39
129	42	19	65
130	27	5	60
130	27	12	27
130	7	6	7
130	70	33	17
130	20	38	40
130	20	58	63
130	37	43	47
130	53	49	30
130	63	25	10
130	27	9	70
131	41	51	41
131	66	48	50
131	18	60	18
131	49	10	58
131	50	53	66
131	18	59	8
131	49	38	49
131	33	22	23
131	49	4	15
131	45	19	68
132	44	58	4
132	48	17	21
132	67	56	24
132	1	29	54
132	26	53	26
132	46	15	16
132	54	5	11
132	16	23	59
132	36	31	69
132	8	28	8
133	12	46	22
133	22	20	51
133	52	10	9
133	52	59	29
133	22	57	32
133	32	21	2
133	67	26	67
133	44	32	14
133	65	54	55
133	9	29	39
134	70	22	47
134	63	2	10
134	63	12	20
134	53	59	30
134	70	21	37
134	37	44	27
134	70	51	17
134	17	33	70
134	53	49	40
134	7	1	60
135	13	21	13
135	33	15	56
135	15	4	35
135	66	22	43
135	23	50	66
135	58	44	49
135	45	41	15
135	61	36	8
135	28	3	18
135	45	12	25
136	57	2	44
136	38	56	61
136	34	45	4
136	61	44	28
136	44	16	14
136	64	3	41
136	36	23	36
136	67	20	57
136	21	32	64
136	69	29	6
137	19	58	9
137	52	21	19
137	12	9	55
137	21	30	31
137	22	18	42
137	65	38	51
137	22	17	2
137	9	19	29
137	22	40	32
137	59	11	59
138	20	8	53
138	10	5	10
138	53	47	20
138	70	34	60
138	37	35	37
138	20	3	30
138	37	44	70
138	30	33	63
138	27	29	7
138	40	13	40
139	18	37	61
139	33	53	43
139	13	45	23
139	35	19	35
139	58	26	25
139	38	6	28
139	56	43	56
139	43	28	3
139	50	35	33
139	5	13	5
140	48	56	21
140	28	25	18
140	67	3	44
140	34	10	24
140	16	52	16
140	6	14	59
140	61	27	28
140	1	28	31
140	69	57	26
140	16	6	36
141	1	46	64
141	22	4	42
141	12	20	22
141	65	10	2
141	31	13	48
141	54	1	11
141	22	32	51
141	52	58	39
141	41	14	31
141	32	52	55
142	53	58	63
142	62	50	62
142	44	16	67
142	47	4	60
142	40	59	10
142	34	5	4
142	24	39	57
142	60	23	27
142	60	47	70
142	30	17	53
143	38	45	38
143	28	14	28
143	8	32	61
143	56	19	33
143	3	41	66
143	3	4	56
143	18	1	18
143	52	53	62
143	66	11	13
143	13	37	43
144	29	49	52
144	33	13	66
144	68	7	45
144	5	6	15
144	61	21	28
144	5	5	58
144	58	11	68
144	3	46	23
144	52	42	39
144	56	4	3
