id	CookingorConfectionary	Nation	Difficulty_level	recipe_name	description_	prep_time	cook_time	portions	basic_ingredient_id	meal_type
11	1	Italian	2	Tiramisu	A classic Italian dessert made with layers of coffee-soaked ladyfingers, creamy mascarpone cheese, and dusted with cocoa powder, creating a decadent and indulgent treat.	30	0	6	81	Desserts
12	0	French	3	Croissant	Flaky and buttery French pastry made with layers of dough, rolled and folded to create a crescent shape, perfect for breakfast or a midday treat.	40	20	6	67	Breakfast
13	0	Mexican	4	Guacamole	Fresh and flavorful Mexican dip made with ripe avocados, onions, tomatoes, cilantro, lime juice, and a hint of jalapeño, perfect for dipping tortilla chips or topping tacos.	15	0	4	35	Appetizers
14	1	Japanese	2	Mochi	Delightful Japanese confection made with glutinous rice flour, molded into small, chewy balls and filled with sweet red bean paste, creating a delightful burst of flavor with each bite.	20	0	6	109	Desserts
15	0	Indian	3	Chicken Tikka Masala	Aromatic Indian curry featuring tender chicken pieces marinated in yogurt and spices, grilled until charred and simmered in a creamy tomato-based sauce, bursting with flavor.	35	45	4	123	Dinner
16	0	American	2	Chocolate Chip Cookies	Soft and chewy American cookies studded with chocolate chips, perfect for satisfying your sweet tooth and indulging in a classic treat.	20	15	8	18	Desserts
17	0	Chinese	3	General Tso s Chicken	Crispy chicken pieces coated in a sweet and tangy sauce made with soy sauce, ginger, garlic, and chili peppers, a popular Chinese takeout dish.	25	30	4	123	Dinner
18	0	Greek	3	Spanakopita	Flaky phyllo pastry filled with a savory mixture of spinach, feta cheese, and herbs, a traditional Greek appetizer or main course.	30	40	8	89	Dinner
19	1	Thai	4	Mango Sticky Rice	Sweet and fragrant Thai dessert featuring ripe mango slices served atop sticky rice drizzled with coconut milk, offering a delightful combination of flavors and textures.	20	30	4	43	Desserts
20	0	Spanish	3	Gazpacho	Refreshing Spanish chilled soup made with ripe tomatoes, cucumbers, bell peppers, onions, garlic, olive oil, and vinegar, perfect for hot summer days.	15	0	4	25	Appetizers
21	1	Italian	2	Cannoli	Iconic Italian pastry consisting of crispy fried shells filled with sweetened ricotta cheese and chocolate chips, dusted with powdered sugar, a delightful treat.	30	40	6	98	Desserts
22	0	French	3	Ratatouille	Provencal vegetable stew made with tomatoes, eggplant, zucchini, bell peppers, and onions, flavored with herbs and olive oil, a colorful and hearty dish.	40	50	6	25	Dinner
23	0	Mexican	4	Pozole	Traditional Mexican soup made with hominy corn, pork or chicken, and seasoned broth, garnished with shredded cabbage, radish, onion, and lime, a comforting meal.	45	60	8	123	Dinner
24	1	Japanese	3	Dorayaki	Sweet Japanese pancake sandwiches filled with sweet red bean paste (anko), a popular snack or dessert enjoyed by both children and adults.	20	30	6	109	Desserts
25	0	Indian	5	Palak Paneer	Creamy Indian curry made with spinach (palak) and paneer cheese, flavored with garlic, ginger, and spices, a nutritious and flavorful vegetarian dish.	35	40	4	89	Dinner
26	0	American	2	BBQ Ribs	Tender pork ribs slow-cooked in a smoky barbecue sauce until fall-off-the-bone tender, a classic American dish perfect for summer cookouts.	40	180	6	194	Dinner
27	0	Chinese	3	Kung Pao Chicken	Spicy and savory Chinese stir-fry dish featuring chicken, peanuts, and vegetables, flavored with chili peppers, garlic, and ginger, a favorite takeout option.	25	30	4	123	Dinner
28	1	Greek	3	Loukoumades	Greek doughnut holes made with yeast dough, deep-fried until golden and crispy, then drizzled with honey syrup and sprinkled with cinnamon, a delicious dessert.	30	40	8	108	Desserts
29	0	Thai	4	Pad Thai	Thai stir-fried noodle dish made with rice noodles, tofu, shrimp or chicken, bean sprouts, and peanuts, flavored with tamarind sauce and fish sauce.	30	25	4	123	Dinner
30	0	Spanish	3	Churros	Spanish fried dough pastries dusted with cinnamon sugar, served with thick hot chocolate or dulce de leche for dipping, a popular street food and dessert.	20	30	6	149	Desserts
31	1	Italian	2	Panna Cotta	Italian dessert made with sweetened cream, gelatin, and vanilla, served chilled with fruit compote or caramel sauce, a creamy and elegant treat.	25	40	6	178	Desserts
32	0	French	3	Bouillabaisse	Provencal fish stew made with a variety of fish and shellfish, tomatoes, saffron, and herbs, served with crusty bread and rouille, a hearty and flavorful dish.	40	50	6	119	Dinner
33	0	Mexican	4	Carnitas	Mexican-style braised pork cooked until tender and crispy, served with tortillas, salsa, and toppings for making tacos or burritos, a festive and flavorful dish.	50	120	8	194	Dinner
34	1	Japanese	3	Daifuku	Japanese mochi filled with sweet red bean paste (anko), a chewy and delightful confection enjoyed as a snack or dessert.	30	0	6	109	Desserts
35	0	Indian	5	Chicken Biryani	Fragrant Indian rice dish cooked with marinated chicken, aromatic spices, and basmati rice, layered and steamed to perfection, a flavorful one-pot meal.	45	60	6	123	Dinner
36	0	American	2	New York Cheesecake	Creamy and rich cheesecake made with cream cheese, sour cream, and graham cracker crust, baked until golden and served chilled, a classic dessert favorite.	30	60	8	135	Desserts
37	0	Chinese	3	Hot Pot	Chinese communal meal featuring a simmering pot of broth in the center of the table, where diners cook a variety of meats, seafood, and vegetables, a social and interactive dining experience.	60	30	6	138	Dinner
38	1	Greek	3	Galaktoboureko	Greek dessert made with layers of crispy phyllo pastry filled with creamy semolina custard, soaked in lemon-scented syrup, a sweet and comforting treat.	45	50	8	117	Desserts
39	0	Thai	4	Green Curry	Fragrant Thai curry made with green curry paste, coconut milk, chicken or tofu, and vegetables, served with jasmine rice for a satisfying and aromatic meal.	30	35	4	123	Dinner
40	0	Spanish	3	Spanish Omelette	Classic Spanish dish made with eggs, potatoes, onions, and olive oil, cooked until golden and served warm or at room temperature, a versatile and comforting meal.	25	30	4	20	Breakfast
41	1	Italian	2	Zeppole	Italian fried dough balls dusted with powdered sugar, served warm with chocolate sauce or fruit compote, a delightful street food and dessert.	30	40	6	99	Desserts
42	0	French	3	Quiche Lorraine	Classic French tart filled with eggs, cream, cheese, and bacon, baked until golden and served warm or at room temperature, a savory and satisfying dish.	35	45	6	20	Breakfast
43	0	Mexican	4	Mole Negro	Oaxacan specialty sauce made with a complex blend of chili peppers, chocolate, spices, and nuts, served over chicken or turkey for a rich and flavorful dish.	50	60	8	127	Dinner
44	1	Japanese	3	Taiyaki	Japanese fish-shaped cake filled with sweet red bean paste (anko) or custard, cooked until golden and crispy, a popular street food and snack.	25	30	6	109	Desserts
45	0	Indian	5	Vegetable Biryani	Fragrant Indian rice dish made with basmati rice, mixed vegetables, and aromatic spices, layered and steamed to perfection, a flavorful vegetarian option.	40	45	6	74	Dinner
46	0	American	2	Chicken Pot Pie	Classic American comfort food made with tender chicken, vegetables, and creamy sauce, baked in a flaky pie crust until golden and bubbling, a hearty and satisfying meal.	35	50	8	123	Dinner
47	0	Chinese	3	Peking Duck	Iconic Chinese dish featuring crispy duck skin, tender meat, and thin pancakes served with hoisin sauce, scallions, and cucumber, a delicious and festive meal	45	90	6	174	Dinner
48	1	Italian	2	Gelato	Smooth and creamy Italian-style ice cream made with milk, cream, sugar, and various flavors such as chocolate, pistachio, or fruit, a refreshing treat enjoyed year-round.	30	60	4	44	Desserts
49	0	Indian	4	Pani Puri	Indian street food snack consisting of crispy hollow puri filled with spicy tamarind water, chickpeas, potatoes, and chutneys, offering a burst of flavors in every bite.	20	0	4	128	Appetizers
50	0	Mexican	3	Ceviche	Fresh and tangy Mexican seafood dish made with raw fish marinated in citrus juices, mixed with tomatoes, onions, cilantro, and chili peppers, a light and flavorful appetizer.	20	0	4	119	Appetizers
51	1	French	2	Crème Brûlée	Silky smooth custard topped with a layer of caramelized sugar, creating a delightful contrast of textures and flavors, a classic French dessert.	25	45	6	20	Desserts
52	0	Thai	3	Massaman Curry	Fragrant Thai curry made with tender beef, potatoes, peanuts, and coconut milk, flavored with aromatic spices and herbs, offering a rich and comforting meal.	40	50	4	188	Dinner
53	0	Spanish	3	Tortilla Española	Classic Spanish omelette made with eggs, potatoes, onions, and olive oil, cooked until golden and served warm or at room temperature, a versatile and comforting dish.	30	40	4	20	Breakfast
54	1	Italian	2	Cannoli	Iconic Italian pastry consisting of crispy fried shells filled with sweetened ricotta cheese and chocolate chips, dusted with powdered sugar, a delightful treat.	30	40	6	30	Desserts
55	0	French	3	Ratatouille	Provencal vegetable stew made with tomatoes, eggplant, zucchini, bell peppers, and onions, flavored with herbs and olive oil, a colorful and hearty dish.	40	50	6	62	Dinner
56	0	Mexican	4	Pozole	Traditional Mexican soup made with hominy corn, pork or chicken, and seasoned broth, garnished with shredded cabbage, radish, onion, and lime, a comforting meal.	45	60	8	123	Dinner
57	1	Japanese	3	Daifuku	Japanese mochi filled with sweet red bean paste (anko), a chewy and delightful confection enjoyed as a snack or dessert.	30	0	6	109	Desserts
58	0	Indian	5	Chicken Biryani	Fragrant Indian rice dish cooked with marinated chicken, aromatic spices, and basmati rice, layered and steamed to perfection, a flavorful one-pot meal.	45	60	6	123	Dinner
59	0	American	2	New York Cheesecake	Creamy and rich cheesecake made with cream cheese, sour cream, and graham cracker crust, baked until golden and served chilled, a classic dessert favorite.	30	60	8	15	Desserts
60	0	Chinese	3	Hot Pot	Chinese communal meal featuring a simmering pot of broth in the center of the table, where diners cook a variety of meats, seafood, and vegetables, a social and interactive dining experience.	60	30	6	138	Dinner
61	1	Greek	3	Galaktoboureko	Greek dessert made with layers of crispy phyllo pastry filled with creamy semolina custard, soaked in lemon-scented syrup, a sweet and comforting treat.	45	50	8	117	Desserts
62	0	Thai	4	Green Curry	Fragrant Thai curry made with green curry paste, coconut milk, chicken or tofu, and vegetables, served with jasmine rice for a satisfying and aromatic meal.	30	35	4	123	Dinner
63	0	Spanish	3	Spanish Omelette	Classic Spanish dish made with eggs, potatoes, onions, and olive oil, cooked until golden and served warm or at room temperature, a versatile and comforting meal.	25	30	4	20	Breakfast
64	1	Italian	2	Zeppole	Italian fried dough balls dusted with powdered sugar, served warm with chocolate sauce or fruit compote, a delightful street food and dessert.	30	40	6	99	Desserts
65	0	French	3	Quiche Lorraine	Classic French tart filled with eggs, cream, cheese, and bacon, baked until golden and served warm or at room temperature, a savory and satisfying dish.	35	45	6	20	Breakfast
66	0	Mexican	4	Mole Negro	Oaxacan specialty sauce made with a complex blend of chili peppers, chocolate, spices, and nuts, served over chicken or turkey for a rich and flavorful dish.	50	60	8	127	Dinner
67	1	Japanese	3	Taiyaki	Japanese fish-shaped cake filled with sweet red bean paste (anko) or custard, cooked until golden and crispy, a popular street food and snack.	25	30	6	109	Desserts
68	0	Indian	5	Vegetable Biryani	Fragrant Indian rice dish made with basmati rice, mixed vegetables, and aromatic spices, layered and steamed to perfection, a flavorful vegetarian option.	40	45	6	74	Dinner
69	0	American	2	Chicken Pot Pie	Classic American comfort food made with tender chicken, vegetables, and creamy sauce, baked in a flaky pie crust until golden and bubbling, a hearty and satisfying meal.	35	50	8	123	Dinner
70	0	Chinese	3	Peking Duck	Iconic Chinese dish featuring crispy duck skin, tender meat, and thin pancakes served with hoisin sauce, scallions, and cucumber, a delicious and festive meal	45	90	6	174	Dinner
