id	CookingorConfectionary	Nation	Difficulty_level	recipe_name	description_	prep_time	cook_time	portions	basic_ingredient_id	tip_1	tip_2	tip_3
21	0	Mexican	4	Tacos	Authentic Mexican street food made with corn or flour tortillas filled with various fillings such as seasoned meat, beans, and salsa.	25	20	4	0	NULL	NULL	NULL
22	1	Indian	3	Palak Paneer	A North Indian dish made with spinach (palak) and paneer (Indian cottage cheese) cooked in a spiced creamy sauce.	25	30	4	0	NULL	NULL	NULL
23	0	Thai	4	Tom Yum Goong	A spicy and sour Thai soup made with shrimp, lemongrass, kaffir lime leaves, galangal, and chili peppers.	20	30	4	0	NULL	NULL	NULL
24	1	French	2	Quiche Lorraine	A classic French savory tart made with a custard filling of eggs, cream, cheese, and bacon, baked in a pastry crust.	30	35	4	0	NULL	NULL	NULL
25	1	Mexican	3	Chiles Rellenos	Traditional Mexican dish consisting of roasted poblano peppers stuffed with cheese, then battered and fried.	25	35	4	0	NULL	NULL	NULL
26	0	Italian	4	Chicken Alfredo	Pasta dish made with fettuccine noodles, chicken, and a rich Alfredo sauce made from butter, cream, and Parmesan cheese.	25	25	4	0	NULL	NULL	NULL
27	1	Japanese	3	Tempura	Light and crispy Japanese dish consisting of battered and deep-fried seafood and vegetables.	20	20	4	0	NULL	NULL	NULL
28	1	Italian	4	Bruschetta	Classic Italian appetizer made with toasted bread topped with diced tomatoes, garlic, basil, and olive oil.	15	10	4	0	NULL	NULL	NULL
29	0	Indian	4	Palak Chicken	Creamy Indian curry made with tender chicken pieces cooked in a spinach-based sauce flavored with spices.	30	35	4	0	NULL	NULL	NULL
30	0	Thai	3	Pad See Ew	A popular Thai stir-fried noodle dish made with wide rice noodles, Chinese broccoli, eggs, and a savory sauce.	25	20	4	0	NULL	NULL	NULL
31	1	French	3	Coq au Vin	A classic French dish of chicken braised with wine, mushrooms, onions, and bacon.	40	60	4	0	NULL	NULL	NULL
32	0	Italian	4	Lasagna	Classic Italian pasta dish made with layers of pasta, meat sauce, and cheese.	60	45	6	0	NULL	NULL	NULL
33	1	Thai	2	Green Curry	Spicy Thai curry made with green curry paste, coconut milk, vegetables, and choice of meat.	30	40	4	0	NULL	NULL	NULL
34	1	Japanese	3	Ramen	Japanese noodle soup dish with wheat noodles, broth, and toppings like sliced pork, green onions, and egg.	45	50	4	0	NULL	NULL	NULL
35	0	Mexican	4	Burritos	Mexican dish consisting of a flour tortilla wrapped around various fillings such as meat, beans, rice, and cheese.	30	25	4	0	NULL	NULL	NULL
36	1	Indian	3	Butter Chicken	Indian curry dish made with marinated chicken cooked in a spiced tomato-based sauce with butter and cream.	50	45	4	0	NULL	NULL	NULL
37	0	French	4	Tarte Tatin	French upside-down pastry with caramelized fruit (usually apples) topped with pastry and baked until golden.	40	35	4	0	NULL	NULL	NULL
38	1	Italian	2	Risotto	Italian rice dish cooked in broth to a creamy consistency, often flavored with ingredients such as mushrooms or seafood.	40	35	4	0	NULL	NULL	NULL
39	0	Japanese	3	Tonkatsu	Japanese dish consisting of breaded and deep-fried pork cutlets served with tonkatsu sauce and shredded cabbage.	30	40	4	0	NULL	NULL	NULL
40	1	Thai	4	Red Curry	Spicy Thai curry made with red curry paste, coconut milk, vegetables, and choice of meat.	35	45	4	0	NULL	NULL	NULL
41	1	Italian	3	Caponata	Sicilian eggplant dish consisting of cooked vegetables, tomatoes, olives, and capers, often served as a side dish or relish.	45	40	4	0	NULL	NULL	NULL
42	0	French	4	Potato Dauphinoise	French dish of sliced potatoes baked in milk or cream, usually with grated cheese on top.	35	50	4	0	NULL	NULL	NULL
43	1	Indian	2	Tandoori Chicken	Indian dish of chicken marinated in a mixture of yogurt and spices, then grilled or roasted.	45	40	4	0	NULL	NULL	NULL
44	1	Mexican	3	Mole Poblano	Rich Mexican sauce made with chili peppers, chocolate, spices, and other ingredients, served over meat.	60	50	4	0	NULL	NULL	NULL
45	0	Italian	4	Cannoli	Sicilian pastry consisting of tube-shaped shells of fried pastry dough filled with a sweet, creamy filling containing ricotta.	40	30	4	0	NULL	NULL	NULL
46	1	Japanese	3	Miso Soup	Traditional Japanese soup made with miso paste, tofu, seaweed, and other ingredients.	15	20	4	0	NULL	NULL	NULL
47	1	French	4	Bouillabaisse	Traditional Provençal fish stew originating from the port city of Marseille, usually made with various types of fish and shellfish.	50	60	4	0	NULL	NULL	NULL
48	0	Thai	3	Green Papaya Salad	Thai salad made from shredded unripe papaya, tomatoes, chili peppers, lime juice, fish sauce, and peanuts.	25	20	4	0	NULL	NULL	NULL
49	1	Italian	3	Osso Buco	Italian dish made with braised veal shanks cooked with vegetables, white wine, and broth, often served with gremolata.	60	70	4	0	NULL	NULL	NULL
50	0	Mexican	4	Chimichangas	Deep-fried burritos popular in Tex-Mex cuisine, typically filled with shredded meat, cheese, and beans.	30	25	4	0	NULL	NULL	NULL
51	1	Japanese	3	Okonomiyaki	Japanese savory pancake containing a variety of ingredients, usually including cabbage, meat, and seafood, topped with okonomiyaki sauce and mayonnaise.	40	30	4	0	NULL	NULL	NULL
52	0	Italian	4	Ratatouille	Provençal French vegetable stew dish made with eggplant, zucchini, bell peppers, tomatoes, onions, and various herbs.	40	45	4	0	NULL	NULL	NULL
53	1	Indian	3	Samosas	Crispy Indian pastry filled with spiced potatoes, peas, and sometimes meat, then deep-fried until golden brown.	30	35	4	0	NULL	NULL	NULL
54	0	Japanese	3	Yakitori	Japanese skewered chicken grilled over charcoal, typically seasoned with salt or a sweet-savory sauce called tare.	25	20	4	0	NULL	NULL	NULL
55	1	Mexican	3	Pozole	Traditional Mexican soup made with hominy, pork or chicken, and seasoned with chili peppers, garlic, and other spices.	60	50	4	0	NULL	NULL	NULL
56	1	Italian	2	Pesto	Genovese sauce originating in Italy made from crushed garlic, basil, pine nuts, Parmesan cheese, and olive oil.	20	15	4	0	NULL	NULL	NULL
57	0	French	4	Crêpes	Thin French pancakes made from wheat flour, eggs, milk, and butter, typically served with sweet or savory fillings.	20	25	4	0	NULL	NULL	NULL
58	1	Thai	3	Mango Sticky Rice	Thai dessert made with glutinous rice, fresh mango slices, and coconut milk, often served as a sweet treat.	30	25	4	0	NULL	NULL	NULL
59	0	Mexican	3	Ceviche	Latin American dish made with raw fish marinated in citrus juices such as lime or lemon, spiced with chili peppers, onions, and cilantro.	20	30	4	0	NULL	NULL	NULL
60	1	Japanese	4	Tonkotsu Ramen	Japanese noodle soup made with a rich and creamy pork bone broth, topped with sliced pork, green onions, and other ingredients.	60	50	4	0	NULL	NULL	NULL
61	0	Italian	3	Ossobuco	Milanese specialty of cross-cut veal shanks braised with vegetables, white wine, and broth, often served with gremolata.	60	70	4	0	NULL	NULL	NULL
62	1	French	4	Confit de Canard	French dish of duck cooked in its own fat, typically served with potatoes or lentils.	60	90	4	0	NULL	NULL	NULL
63	0	Thai	3	Green Curry Fried Rice	Thai fried rice cooked with green curry paste, coconut milk, vegetables, and choice of meat or seafood.	25	30	4	0	NULL	NULL	NULL
64	1	Indian	4	Biryani	Indian mixed rice dish made with spices, rice, and meat (such as chicken, beef, goat, pork, or fish), usually served with yogurt sauce or raita.	60	50	4	0	NULL	NULL	NULL
65	1	Japanese	3	Tonkatsu Ramen	Japanese noodle soup made with a rich and creamy pork bone broth, topped with sliced pork, green onions, and other ingredients.	50	45	4	0	NULL	NULL	NULL
66	0	French	4	Tarte au Citron	French dessert consisting of a lemon-flavored custard filling in a pastry shell, usually topped with powdered sugar.	35	40	4	0	NULL	NULL	NULL
67	1	Italian	3	Focaccia	Italian flatbread topped with olive oil, salt, and sometimes herbs or other ingredients, baked until golden brown.	30	35	4	0	NULL	NULL	NULL
68	0	Japanese	3	Shabu-Shabu	Japanese hot pot dish of thinly sliced meat and vegetables cooked quickly in boiling water, then dipped in sauce before eating.	40	45	4	0	NULL	NULL	NULL
69	1	Mexican	3	Tamales	Mexican dish made of masa (a dough made from corn), filled with meat, cheese, vegetables, or fruit, then steamed in a corn husk or banana leaf.	60	50	4	0	NULL	NULL	NULL
70	0	Italian	3	Cannelloni	Italian pasta dish consisting of rolled sheets of pasta stuffed with a filling such as ricotta cheese and spinach, baked in a sauce.	50	40	4	0	NULL	NULL	NULL
71	1	Thai	3	Panang Curry	Thai curry dish made with red curry paste, coconut milk, meat (often beef or chicken), and flavored with kaffir lime leaves and Thai basil.	40	45	4	0	NULL	NULL	NULL
72	0	Mexican	4	Quesadillas	Mexican dish consisting of a tortilla filled with cheese (and often other ingredients such as meat, beans, or vegetables), folded in half, and cooked until the cheese melts.	25	20	4	0	NULL	NULL	NULL
73	1	Japanese	3	Teriyaki Chicken	Japanese dish of grilled or broiled chicken glazed with a sweet and savory teriyaki sauce made from soy sauce, sake, mirin, and sugar.	30	25	4	0	NULL	NULL	NULL
74	0	French	4	Chocolate Soufflé	Delicate French dessert made with a base of egg yolks and beaten egg whites, flavored with chocolate, baked until puffed and golden.	40	30	4	0	NULL	NULL	NULL
75	1	Italian	3	Panettone	Italian sweet bread loaf, usually prepared for Christmas or New Year, containing candied fruits and raisins.	90	60	4	0	NULL	NULL	NULL
76	0	Japanese	3	Miso Eggplant	Japanese dish of eggplant grilled and glazed with a sweet and savory miso-based sauce.	30	25	4	0	NULL	NULL	NULL
77	1	Indian	4	Rogan Josh	Traditional Kashmiri curry dish of tender lamb cooked with a flavorful blend of spices, tomatoes, and yogurt.	60	50	4	0	NULL	NULL	NULL
78	0	Thai	3	Green Papaya Salad	Thai salad made from shredded unripe papaya, tomatoes, chili peppers, lime juice, fish sauce, and peanuts.	25	20	4	0	NULL	NULL	NULL
79	1	Italian	3	Amatriciana	Classic Italian pasta sauce made with tomatoes, pancetta or guanciale, Pecorino cheese, and chili peppers.	30	35	4	0	NULL	NULL	NULL
80	0	Japanese	3	Yakisoba	Japanese stir-fried noodles with vegetables, meat (often pork), and a sweet and savory sauce similar to Worcestershire sauce.	25	30	4	0	NULL	NULL	NULL
81	1	French	3	Bœuf Bourguignon	Traditional French beef stew cooked in red wine, flavored with onions, carrots, garlic, and herbs.	60	90	4	0	NULL	NULL	NULL
82	0	Thai	4	Panang Curry	Thai curry dish made with red curry paste, coconut milk, meat (often beef or chicken), and flavored with kaffir lime leaves and Thai basil.	40	45	4	0	NULL	NULL	NULL
83	1	Italian	3	Caponata	Sicilian eggplant dish consisting of cooked vegetables, tomatoes, olives, and capers, often served as a side dish or relish.	45	40	4	0	NULL	NULL	NULL
84	0	Japanese	3	Tempura	Japanese dish of lightly battered and deep-fried seafood and vegetables.	30	25	4	0	NULL	NULL	NULL
85	1	Mexican	4	Chiles en Nogada	Traditional Mexican dish consisting of poblano peppers stuffed with a mixture of meat, fruits, and spices, topped with walnut cream sauce and pomegranate seeds.	50	40	4	0	NULL	NULL	NULL
86	0	Italian	3	Risotto Milanese	Italian rice dish cooked with saffron-infused broth, onions, and Parmesan cheese, resulting in a creamy consistency and golden hue.	40	35	4	0	NULL	NULL	NULL
87	1	French	4	Coq au Vin	Classic French dish of chicken braised in red wine with mushrooms, onions, and bacon.	40	60	4	0	NULL	NULL	NULL
88	0	Thai	3	Pad Kra Pao	Thai stir-fry dish made with minced meat (often pork or chicken), holy basil, garlic, chili peppers, and served over rice with a fried egg on top.	30	25	4	0	NULL	NULL	NULL
89	1	Italian	2	Panzanella	Italian salad made with stale bread, tomatoes, onions, cucumbers, basil, and a vinaigrette dressing.	20	15	4	0	NULL	NULL	NULL
90	0	Japanese	3	Tonjiru	Japanese pork and vegetable soup flavored with miso paste, often containing ingredients like pork belly, daikon radish, and potatoes.	40	35	4	0	NULL	NULL	NULL
91	1	Mexican	3	Cochinita Pibil	Traditional Mexican slow-roasted pork dish marinated in achiote paste and citrus juices, wrapped in banana leaves, and cooked until tender.	60	90	4	0	NULL	NULL	NULL
92	0	Italian	3	Arancini	Sicilian fried rice balls stuffed with a filling such as ragù, mozzarella, and peas, coated in breadcrumbs and deep-fried until golden brown.	45	40	4	0	NULL	NULL	NULL
93	1	French	3	Cassoulet	Slow-cooked French casserole made with white beans, various meats such as pork sausages, duck, and sometimes lamb, flavored with tomatoes, garlic, and herbs.	90	120	4	0	NULL	NULL	NULL
94	0	Thai	4	Som Tum	Thai green papaya salad made with shredded unripe papaya, tomatoes, green beans, chili peppers, lime juice, fish sauce, and peanuts.	25	20	4	0	NULL	NULL	NULL
95	1	Italian	3	Pasta Puttanesca	Quick and flavorful Italian pasta dish made with tomatoes, olives, capers, garlic, and anchovies, often served with spaghetti or linguine.	30	25	4	0	NULL	NULL	NULL
96	0	Japanese	3	Katsu Curry	Japanese dish of breaded and deep-fried meat (often pork or chicken) served with Japanese curry sauce and rice.	40	40	4	0	NULL	NULL	NULL
97	1	Mexican	3	Mexican Street Corn	Grilled corn on the cob slathered with mayonnaise, chili powder, cotija cheese, and a squeeze of lime juice.	20	15	4	0	NULL	NULL	NULL
98	0	Italian	4	Cannoli	Sicilian pastry consisting of tube-shaped shells of fried pastry dough filled with a sweet, creamy filling containing ricotta cheese.	40	30	4	0	NULL	NULL	NULL
99	1	French	4	Ratatouille	Provençal French vegetable stew dish made with eggplant, zucchini, bell peppers, tomatoes, onions, and various herbs.	40	45	4	0	NULL	NULL	NULL
100	0	Thai	3	Pad Kee Mao	Thai stir-fried noodle dish made with wide rice noodles, meat (such as chicken, beef, or shrimp), Thai basil, chili peppers, and soy sauce.	30	25	4	0	NULL	NULL	NULL
101	1	Italian	3	Panzanella	Italian salad made with stale bread, tomatoes, onions, cucumbers, basil, and a vinaigrette dressing.	20	15	4	0	NULL	NULL	NULL
102	0	Japanese	3	Yakitori	Japanese skewered chicken grilled over charcoal, typically seasoned with salt or a sweet-savory sauce called tare.	25	20	4	0	NULL	NULL	NULL
103	1	Mexican	3	Chilaquiles	Traditional Mexican dish made with fried tortilla chips simmered in salsa or mole sauce, topped with cheese, crema, and sometimes eggs or shredded chicken.	30	35	4	0	NULL	NULL	NULL
104	0	Italian	4	Tiramisu	Italian dessert made with layers of coffee-soaked ladyfingers and mascarpone cheese, flavored with cocoa powder.	30	20	4	0	NULL	NULL	NULL
105	1	French	3	Quiche Lorraine	Savory French tart made with a filling of eggs, cream, cheese, and bacon, baked in a pastry crust.	35	40	4	0	NULL	NULL	NULL
106	0	Thai	3	Tom Kha Gai	Thai coconut soup made with chicken, coconut milk, galangal, lemongrass, kaffir lime leaves, mushrooms, and chili peppers.	30	25	4	0	NULL	NULL	NULL
107	1	Italian	3	Minestrone	Italian vegetable soup made with a variety of vegetables, beans, and pasta or rice, simmered in a tomato-based broth.	40	35	4	0	NULL	NULL	NULL
108	0	Japanese	4	Okonomiyaki	Japanese savory pancake containing a variety of ingredients, usually including cabbage, meat, and seafood, topped with okonomiyaki sauce and mayonnaise.	40	30	4	0	NULL	NULL	NULL
109	1	Mexican	3	Tacos de Carnitas	Traditional Mexican street food tacos made with slow-cooked pork (carnitas), served with chopped onions, cilantro, salsa, and lime wedges.	45	50	4	0	NULL	NULL	NULL
110	0	Italian	3	Caprese Salad	Simple Italian salad made with fresh tomatoes, mozzarella cheese, basil leaves, olive oil, and balsamic vinegar.	15	10	4	0	NULL	NULL	NULL
111	1	French	3	French Onion Soup	Traditional French soup made with caramelized onions, beef broth, toasted bread, and melted cheese on top.	40	50	4	0	NULL	NULL	NULL
112	0	Thai	3	Gai Pad Med Mamuang	Thai stir-fry dish made with chicken, cashew nuts, vegetables, and a savory sauce, served over rice.	30	25	4	0	NULL	NULL	NULL
113	1	Italian	4	Panzanella	Italian salad made with stale bread, tomatoes, onions, cucumbers, basil, and a vinaigrette dressing.	20	15	4	0	NULL	NULL	NULL
114	0	Japanese	3	Takoyaki	Japanese snack made of battered and grilled octopus balls, typically filled with pieces of octopus, tempura scraps, pickled ginger, and green onion.	30	25	4	0	NULL	NULL	NULL
115	1	Mexican	3	Pozole	Traditional Mexican soup made with hominy, pork or chicken, and seasoned with chili peppers, garlic, and other spices.	60	50	4	0	NULL	NULL	NULL
116	0	Italian	3	Bruschetta	Classic Italian appetizer made with toasted bread topped with diced tomatoes, garlic, basil, and olive oil.	15	10	4	0	NULL	NULL	NULL
117	1	French	3	Gratin Dauphinois	French dish of sliced potatoes baked in milk, cream, and garlic, topped with cheese and breadcrumbs, then baked until golden and bubbly.	40	45	4	0	NULL	NULL	NULL
118	0	Thai	3	Green Curry	Thai curry dish made with green curry paste, coconut milk, vegetables, and choice of meat.	30	40	4	0	NULL	NULL	NULL
119	1	Italian	3	Caprese Salad	Simple Italian salad made with fresh tomatoes, mozzarella cheese, basil leaves, olive oil, and balsamic vinegar.	15	10	4	0	NULL	NULL	NULL
120	0	Japanese	4	Miso Soup	Traditional Japanese soup made with miso paste, tofu, seaweed, and other ingredients.	15	20	4	0	NULL	NULL	NULL
121	0	German	3	Sauerbraten	A traditional German pot roast, marinated in a mixture of vinegar, water, and spices before being slow-cooked until tender.	20	180	6	0	NULL	NULL	NULL
122	0	German	4	Schnitzel	Thinly pounded meat, typically pork or veal, coated in breadcrumbs and fried until golden and crispy.	15	20	4	0	NULL	NULL	NULL
123	0	German	2	Kartoffelsalat	A classic German potato salad made with boiled potatoes, onions, pickles, and a tangy dressing of vinegar and mustard.	20	25	6	0	NULL	NULL	NULL
124	0	German	3	Bratwurst	Traditional German sausages made with finely minced pork, seasoned with spices such as marjoram, nutmeg, and white pepper, and typically grilled or pan-fried.	25	20	4	0	NULL	NULL	NULL
125	1	Lebanese	3	Hummus	A creamy dip made from cooked, mashed chickpeas blended with tahini, lemon juice, garlic, and olive oil, often garnished with paprika and parsley.	15	0	4	0	NULL	NULL	NULL
126	1	Lebanese	4	Baba Ghanoush	A smoky eggplant dip made with roasted eggplant, tahini, garlic, lemon juice, and olive oil, typically served with pita bread.	20	30	4	0	NULL	NULL	NULL
127	1	Lebanese	2	Tabbouleh	A refreshing Lebanese salad made with finely chopped parsley, tomatoes, onions, mint, bulgur wheat, and dressed with lemon juice and olive oil.	20	15	4	0	NULL	NULL	NULL
128	1	Lebanese	3	Shawarma	Seasoned meat, often chicken, beef, or lamb, grilled on a vertical rotisserie and sliced thinly for serving in pita bread or on flatbread, typically served with tahini sauce and vegetables.	30	40	4	0	NULL	NULL	NULL
129	1	Korean	3	Bulgogi	Marinated slices of beef, usually ribeye or sirloin, grilled or stir-fried and served with rice, lettuce leaves, and various accompaniments such as kimchi and ssamjang.	25	20	4	0	NULL	NULL	NULL
130	1	Korean	4	Bibimbap	A Korean mixed rice dish topped with assorted vegetables, beef, a fried egg, and spicy gochujang sauce, often served in a heated stone bowl (dolsot) to create a crispy layer of rice.	30	40	4	0	NULL	NULL	NULL
131	1	Korean	2	Kimchi	Fermented vegetables, commonly napa cabbage or Korean radishes, seasoned with chili pepper flakes, garlic, ginger, and other spices, resulting in a tangy, spicy, and pungent flavor.	40	0	6	0	NULL	NULL	NULL
132	1	Korean	3	Tteokbokki	A popular Korean street food dish made with chewy rice cakes simmered in a spicy-sweet gochujang sauce, often served with fish cakes and boiled eggs.	20	30	4	0	NULL	NULL	NULL
133	1	Korean	3	Japchae	A Korean stir-fried dish made with glass noodles (sweet potato starch noodles) mixed with various vegetables, beef, and seasoned with soy sauce and sesame oil.	25	20	4	0	NULL	NULL	NULL
134	1	African	3	Jollof Rice	A flavorful West African rice dish cooked with tomatoes, onions, peppers, and a blend of spices, often served with chicken, fish, or vegetables.	30	40	6	0	NULL	NULL	NULL
135	1	African	4	Pounded Yam	Popular in West Africa, pounded yam is made by boiling yams until tender, then pounding them until smooth and stretchy, served as a starchy side dish with soups and stews.	40	30	4	0	NULL	NULL	NULL
136	1	African	2	Bobotie	A South African dish made with spiced minced meat, typically lamb or beef, mixed with eggs and milk, topped with a custard-like layer, and baked until set and golden brown.	45	50	4	0	NULL	NULL	NULL
137	1	African	3	Suya	A Nigerian street food dish consisting of skewered and grilled spicy meat, usually beef, chicken, or goat, coated in a spicy peanut-based marinade and served with sliced onions and tomatoes.	35	25	4	0	NULL	NULL	NULL
138	1	Bulgarian	3	Banitsa	A traditional Bulgarian pastry made with layers of filo dough filled with a mixture of whisked eggs, yogurt, and feta cheese, then baked until golden and crispy.	30	35	4	0	NULL	NULL	NULL
139	1	Bulgarian	4	Tarator	A refreshing Bulgarian cold soup made with yogurt, cucumbers, garlic, dill, and walnuts, served chilled during hot summer days.	15	0	4	0	NULL	NULL	NULL
140	1	Russian	2	Borscht	A hearty Russian soup made with beetroots, cabbage, potatoes, carrots, onions, and beef or pork, flavored with vinegar and served with a dollop of sour cream.	45	60	6	0	NULL	NULL	NULL
141	1	Russian	3	Pelmeni	Russian dumplings filled with minced meat, such as pork, beef, or a combination, seasoned with onions and spices, boiled and served with sour cream or butter.	40	30	6	0	NULL	NULL	NULL
142	1	Russian	4	Olivier Salad	A traditional Russian salad made with boiled potatoes, carrots, peas, eggs, pickles, and mayonnaise, often served as a side dish or appetizer during holidays and celebrations.	35	25	6	0	NULL	NULL	NULL
143	1	Russian	3	Beef Stroganoff	A classic Russian dish made with strips of beef sautéed in a rich and creamy sauce made with mushrooms, onions, sour cream, and sometimes mustard or tomato paste, served over egg noodles or rice.	30	40	4	0	NULL	NULL	NULL
144	1	Russian	4	Piroshki	A Russian pastry filled with a variety of fillings such as minced meat, mushrooms, cabbage, or potatoes, then baked or fried until golden brown and crispy.	25	30	4	0	NULL	NULL	NULL
145	1	Russian	3	Shashlik	Russian-style kebabs made with marinated chunks of meat, typically pork, beef, or lamb, skewered with vegetables such as onions, peppers, and mushrooms, then grilled or roasted until tender and flavorful.	35	45	4	0	NULL	NULL	NULL
146	1	Russian	2	Kasha	A traditional Russian porridge made from buckwheat groats or other grains such as barley or oats, cooked with water or milk until thick and creamy, often served with butter or sour cream.	20	25	4	0	NULL	NULL	NULL
147	1	Brazilian	3	Feijoada	A hearty Brazilian stew made with black beans, pork or beef, sausage, and various smoked meats, simmered with onions, garlic, and spices until thick and flavorful, typically served with rice, collard greens, and orange slices.	60	90	8	0	NULL	NULL	NULL
148	1	Brazilian	4	Coxinha	A popular Brazilian snack consisting of shredded chicken encased in a savory dough, shaped into a teardrop or drumstick shape, breaded, and deep-fried until golden and crispy.	45	30	8	0	NULL	NULL	NULL
149	1	Brazilian	2	Pão de Queijo	A Brazilian cheese bread made with tapioca flour, eggs, and cheese, typically served warm as a snack or breakfast item, known for its chewy texture and cheesy flavor.	30	20	8	0	NULL	NULL	NULL
150	1	Brazilian	3	Moqueca	A Brazilian fish stew made with fresh fish, tomatoes, onions, garlic, peppers, coconut milk, and palm oil, seasoned with lime juice and cilantro, served with rice and farofa.	50	40	8	0	NULL	NULL	NULL
151	1	Brazilian	3	Brigadeiro	A popular Brazilian chocolate truffle made with condensed milk, cocoa powder, butter, and chocolate sprinkles, rolled into bite-sized balls and coated in more chocolate sprinkles.	20	15	8	0	NULL	NULL	NULL
152	1	Brazilian	4	Churrasco	A Brazilian barbecue style of cooking, involving a variety of meats such as beef, pork, chicken, and sausages, skewered and grilled over open flames, often served with chimichurri sauce and farofa.	60	50	8	0	NULL	NULL	NULL
153	1	Brazilian	4	Caipirinha	A traditional Brazilian cocktail made with cachaca (sugarcane spirit), muddled lime, sugar, and ice, known for its refreshing and citrusy flavor.	10	0	8	0	NULL	NULL	NULL
154	1	Brazilian	3	Acarajé	A Brazilian street food specialty from Bahia, made with black-eyed pea fritters stuffed with a spicy shrimp and vatapá (a rich and creamy sauce made from shrimp, coconut milk, and spices), typically served with salsa and hot sauce.	40	30	8	0	NULL	NULL	NULL
